2026-08-06T17:05:25.512410Z | LINK | writer address 127.0.0.1:45016 read back from config safe_speed.link.host
2026-08-06T17:05:25.640837Z | LINK | up: connected to the stand-in writer at 127.0.0.1:45016 (attempt 1, connection 1). NO READING IS REPLAYED ONTO A NEW CONNECTION: the first SPD line a fresh link carries is the first reading that arrives after it, so a reconnect can never resurrect a value measured before the gap
2026-08-06T17:05:25.658577Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-06T17:05:25.665347Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-06T17:05:25.670033Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-06T17:05:25.940983Z | SILENT | a: sending again after 0.350 s of silence (7 ticks)
2026-08-06T17:05:25.962480Z | SILENT | b: sending again after 0.350 s of silence (7 ticks)
2026-08-06T17:05:25.966141Z | SILENT | mot: sending again after 0.350 s of silence (7 ticks)
2026-08-06T17:05:25.972470Z | MOTION | MOT 1 1 (present=True, observation valid=True)
2026-08-06T17:05:36.641058Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-06T17:05:36.646316Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-06T17:05:36.790907Z | MOTION | MOT 1 0 (present=True, observation valid=False)
2026-08-06T17:05:48.214591Z | EXIT | link attempts 1, connections 1, drops 0; sent SPD A 213, SPD B 213, MOT 446, PING 22; refused non-finite 0, out-of-range 0; silent ticks A 240, B 240, MOT 7; discarded stale A 0, B 0, MOT 0
2026-08-06T17:05:48.230529Z | LINK | down (node shutting down). Both freshness sequences stop advancing at the writer within one of its cycles, and the F-program reads both channels as missing - a demand, not a zero
