2026-08-07T10:28:36.867377Z | LINK | writer address 172.19.176.1:45016 read back from WSL default route (ip route show default)
2026-08-07T10:28:37.050955Z | LINK | up: connected to the stand-in writer at 172.19.176.1:45016 (attempt 1, connection 1). NO READING IS REPLAYED ONTO A NEW CONNECTION: the first SPD line a fresh link carries is the first reading that arrives after it, so a reconnect can never resurrect a value measured before the gap
2026-08-07T10:28:37.057680Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T10:28:37.064513Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T10:28:37.072688Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-07T10:28:38.800692Z | SILENT | mot: sending again after 1.800 s of silence (36 ticks)
2026-08-07T10:28:38.807056Z | MOTION | MOT 1 0 (present=True, observation valid=False)
2026-08-07T10:28:38.850777Z | SILENT | a: sending again after 1.850 s of silence (37 ticks)
2026-08-07T10:28:38.858234Z | SILENT | b: sending again after 1.850 s of silence (37 ticks)
2026-08-07T10:28:38.951018Z | MOTION | MOT 1 1 (present=True, observation valid=True)
2026-08-07T10:28:39.450852Z | MOTION | MOT 0 1 (present=False, observation valid=True)
2026-08-07T10:28:39.800606Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T10:28:39.807678Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T10:28:39.812279Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-07T10:28:40.050639Z | SILENT | a: sending again after 0.300 s of silence (6 ticks)
2026-08-07T10:28:40.057063Z | SILENT | b: sending again after 0.300 s of silence (6 ticks)
2026-08-07T10:28:40.064487Z | SILENT | mot: sending again after 0.300 s of silence (6 ticks)
2026-08-07T10:28:46.550544Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-07T10:28:46.600870Z | SILENT | mot: sending again after 0.100 s of silence (2 ticks)
2026-08-07T10:28:50.200964Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-07T10:28:50.251096Z | SILENT | mot: sending again after 0.100 s of silence (2 ticks)
2026-08-07T10:29:00.161700Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-07T10:29:00.400675Z | SILENT | mot: sending again after 0.300 s of silence (3 ticks)
