2026-08-07T10:22:27.764905Z | LINK | writer address 172.19.176.1:45016 read back from WSL default route (ip route show default)
2026-08-07T10:22:27.935193Z | LINK | up: connected to the stand-in writer at 172.19.176.1:45016 (attempt 1, connection 1). NO READING IS REPLAYED ONTO A NEW CONNECTION: the first SPD line a fresh link carries is the first reading that arrives after it, so a reconnect can never resurrect a value measured before the gap
2026-08-07T10:22:27.940349Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T10:22:27.946070Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T10:22:27.950642Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-07T10:22:31.136015Z | SILENT | mot: sending again after 3.251 s of silence (65 ticks)
2026-08-07T10:22:31.144781Z | MOTION | MOT 1 0 (present=True, observation valid=False)
2026-08-07T10:22:31.185218Z | SILENT | a: sending again after 3.300 s of silence (66 ticks)
2026-08-07T10:22:31.192392Z | SILENT | b: sending again after 3.300 s of silence (66 ticks)
2026-08-07T10:22:31.235264Z | MOTION | MOT 1 1 (present=True, observation valid=True)
2026-08-07T10:22:31.685132Z | MOTION | MOT 0 1 (present=False, observation valid=True)
2026-08-07T10:23:39.109049Z | EXIT | link attempts 1, connections 1, drops 0; sent SPD A 1353, SPD B 1353, MOT 1354, PING 69; refused non-finite 0, out-of-range 0; silent ticks A 72, B 72, MOT 71; discarded stale A 0, B 0, MOT 0
2026-08-07T10:23:39.116772Z | LINK | down (node shutting down). Both freshness sequences stop advancing at the writer within one of its cycles, and the F-program reads both channels as missing - a demand, not a zero
