2026-08-07T06:44:56.361823Z | LINK | writer address 172.19.176.1:45016 read back from WSL default route (ip route show default)
2026-08-07T06:44:56.487804Z | LINK | up: connected to the stand-in writer at 172.19.176.1:45016 (attempt 1, connection 1). NO READING IS REPLAYED ONTO A NEW CONNECTION: the first SPD line a fresh link carries is the first reading that arrives after it, so a reconnect can never resurrect a value measured before the gap
2026-08-07T06:44:56.492859Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T06:44:56.498379Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T06:44:56.504267Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-07T06:44:57.087741Z | SILENT | a: sending again after 0.650 s of silence (13 ticks)
2026-08-07T06:44:57.093220Z | SILENT | b: sending again after 0.650 s of silence (13 ticks)
2026-08-07T06:44:57.097978Z | SILENT | mot: sending again after 0.650 s of silence (13 ticks)
2026-08-07T06:44:57.102857Z | MOTION | MOT 0 1 (present=False, observation valid=True)
2026-08-07T06:45:27.036844Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-07T06:45:27.087117Z | SILENT | mot: sending again after 0.100 s of silence (2 ticks)
2026-08-07T06:45:30.037080Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T06:45:30.042866Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T06:45:30.046994Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-07T06:45:30.286972Z | SILENT | a: sending again after 0.300 s of silence (6 ticks)
2026-08-07T06:45:30.293774Z | SILENT | b: sending again after 0.300 s of silence (6 ticks)
2026-08-07T06:45:30.300293Z | SILENT | mot: sending again after 0.300 s of silence (6 ticks)
2026-08-07T06:51:08.739341Z | MOTION | MOT 1 1 (present=True, observation valid=True)
2026-08-07T06:51:39.240188Z | MOTION | MOT 0 1 (present=False, observation valid=True)
2026-08-07T06:56:44.842066Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T06:56:44.851071Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T06:56:45.042218Z | SILENT | a: sending again after 0.250 s of silence (5 ticks)
2026-08-07T06:56:45.053420Z | SILENT | b: sending again after 0.250 s of silence (5 ticks)
2026-08-07T06:56:45.391833Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T06:56:45.397264Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T06:56:45.401878Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-07T06:56:45.491841Z | SILENT | a: sending again after 0.150 s of silence (3 ticks)
2026-08-07T06:56:45.503294Z | SILENT | b: sending again after 0.150 s of silence (3 ticks)
2026-08-07T06:56:45.509592Z | SILENT | mot: sending again after 0.150 s of silence (3 ticks)
2026-08-07T06:56:45.591858Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T06:56:45.601033Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T06:56:45.791818Z | SILENT | a: sending again after 0.250 s of silence (5 ticks)
2026-08-07T06:56:45.798025Z | SILENT | b: sending again after 0.250 s of silence (5 ticks)
2026-08-07T06:57:49.391850Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-07T06:57:49.442530Z | SILENT | mot: sending again after 0.100 s of silence (2 ticks)
2026-08-07T06:59:06.290421Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T06:59:06.297480Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T06:59:06.302981Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-07T06:59:06.540215Z | SILENT | a: sending again after 0.300 s of silence (6 ticks)
2026-08-07T06:59:06.549361Z | SILENT | b: sending again after 0.300 s of silence (6 ticks)
2026-08-07T06:59:06.560343Z | SILENT | mot: sending again after 0.300 s of silence (6 ticks)
2026-08-07T06:59:06.790316Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T06:59:06.796357Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T06:59:06.803257Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-07T06:59:07.040357Z | SILENT | a: sending again after 0.300 s of silence (6 ticks)
2026-08-07T06:59:07.046785Z | SILENT | b: sending again after 0.300 s of silence (6 ticks)
2026-08-07T06:59:07.052656Z | SILENT | mot: sending again after 0.300 s of silence (6 ticks)
2026-08-07T06:59:07.140460Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T06:59:07.146640Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T06:59:07.151719Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-07T06:59:07.340300Z | SILENT | a: sending again after 0.250 s of silence (5 ticks)
2026-08-07T06:59:07.349863Z | SILENT | b: sending again after 0.250 s of silence (5 ticks)
2026-08-07T06:59:07.359648Z | SILENT | mot: sending again after 0.250 s of silence (5 ticks)
2026-08-07T06:59:09.090341Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T06:59:09.096792Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T06:59:09.101859Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-07T06:59:09.340246Z | SILENT | a: sending again after 0.300 s of silence (6 ticks)
