2026-08-07T15:47:36.604647Z | LINK | writer address 172.19.176.1:45016 read back from WSL default route (ip route show default)
2026-08-07T15:47:36.742945Z | LINK | up: connected to the stand-in writer at 172.19.176.1:45016 (attempt 1, connection 1). NO READING IS REPLAYED ONTO A NEW CONNECTION: the first SPD line a fresh link carries is the first reading that arrives after it, so a reconnect can never resurrect a value measured before the gap
2026-08-07T15:47:36.763559Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T15:47:36.770501Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T15:47:36.782650Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-07T15:47:39.942297Z | SILENT | mot: sending again after 3.250 s of silence (65 ticks)
2026-08-07T15:47:39.949822Z | MOTION | MOT 1 0 (present=True, observation valid=False)
2026-08-07T15:47:39.992636Z | SILENT | a: sending again after 3.300 s of silence (66 ticks)
2026-08-07T15:47:40.001126Z | SILENT | b: sending again after 3.300 s of silence (66 ticks)
2026-08-07T15:47:40.042383Z | MOTION | MOT 1 1 (present=True, observation valid=True)
2026-08-07T15:47:40.492429Z | MOTION | MOT 0 1 (present=False, observation valid=True)
2026-08-07T15:47:41.542226Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T15:47:41.549892Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-07T15:47:41.557091Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-07T15:47:41.592450Z | SILENT | a: sending again after 0.100 s of silence (2 ticks)
2026-08-07T15:47:41.599789Z | SILENT | b: sending again after 0.100 s of silence (2 ticks)
2026-08-07T15:47:41.607335Z | SILENT | mot: sending again after 0.100 s of silence (2 ticks)
2026-08-07T15:49:04.514757Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-07T15:49:04.564977Z | SILENT | mot: sending again after 0.100 s of silence (2 ticks)
