2026-08-06 22:07:43,820 INFO    plc-double SCAFFOLD: index-shift namespace urn:amr-agent:test-double:index-shift:1 at index 2
2026-08-06 22:07:43,821 INFO    plc-double SCAFFOLD: index-shift namespace urn:amr-agent:test-double:index-shift:2 at index 3
2026-08-06 22:07:43,821 INFO    plc-double SCAFFOLD: index-shift namespace urn:amr-agent:test-double:index-shift:3 at index 4
2026-08-06 22:07:43,826 INFO    plc-double namespace http://www.siemens.com/simatic-s7-opcua registered at index 5 (ServerInterfaces folder)
2026-08-06 22:07:43,827 INFO    plc-double namespace http://DemoCell registered at index 6 (DemoCell interface and below)
2026-08-06 22:07:43,829 INFO    plc-double browse path: Objects/5:ServerInterfaces/6:DemoCell — two namespaces, indices deliberately unlike PLCSIM's
2026-08-06 22:07:43,830 INFO    plc-double address space: 49 nodes — 15 in opcua-nodes.md §9, 18 in §10, 9 in §12, 1 in §13; the 8 the bridge must never touch (HmiTractionRequest, HmiSteerRequest, HmiForkRequest, HmiTeleopRequest, HmiResetRequest, HmiHeartbeat, HmiDriveModeRequest, HmiProcessStopRequest) are served WRITABLE, so its refusal is the bridge's own and not this server's
2026-08-06 22:07:43,830 INFO    plc-double Forklift/Safety/ shape 'six': 6 mirror(s) served (EStopDemand, ZoneStopDemand, SafetyResetRequired, SafetyResetFault, SpeedMonitorDemand, TorqueOffDemand) — READ-ONLY to every client (opcua-nodes.md §11.4 MR1); this double runs no F-program and forms none of them
2026-08-06 22:07:43,831 INFO    plc-double SCAFFOLD: session timeout granted within [5000, 8000] ms — a request outside it is revised, in either direction
2026-08-06 22:07:43,831 WARNING asyncua.server.server No signing policy available, user certificate cannot get verified
2026-08-06 22:07:43,831 WARNING asyncua.server.server No encrypting policy available, password may get transferred in plaintext
2026-08-06 22:07:43,832 INFO    plc-double active OPC UA sessions: 0
2026-08-06 22:07:43,833 INFO    plc-double SCAFFOLD S1: TorqueOffDemand := True (hand-written, not PLC logic)
2026-08-06 22:07:43,835 INFO    plc-double SCAFFOLD S2: observing to /mnt/c/Users/ozkan/projects/amr-agent/bridge/evidence/m562-double-observe-m562-r1-20260806T200743Z-pid262616.csv (one file per double session)
2026-08-06 22:07:43,843 INFO    plc-double TEST DOUBLE listening on opc.tcp://127.0.0.1:4845/amr-agent/celldouble/ — this is scaffolding, not a PLC
2026-08-06 22:07:45,841 INFO    plc-double active OPC UA sessions: 1
2026-08-06 22:07:48,361 INFO    plc-double SCAFFOLD S1: TorqueOffDemand := False (hand-written, not PLC logic)
2026-08-06 22:07:50,929 INFO    plc-double SCAFFOLD S1: TorqueOffDemand := True (hand-written, not PLC logic)
2026-08-06 22:07:53,510 INFO    plc-double SCAFFOLD S1: TorqueOffDemand := False (hand-written, not PLC logic)
2026-08-06 22:07:57,862 INFO    plc-double active OPC UA sessions: 0
2026-08-06 22:08:00,865 INFO    plc-double test double stopped
