2026-08-06T17:08:36.957803Z | LINK | writer address 127.0.0.1:45016 read back from config safe_speed.link.host
2026-08-06T17:08:37.080922Z | LINK | up: connected to the stand-in writer at 127.0.0.1:45016 (attempt 1, connection 1). NO READING IS REPLAYED ONTO A NEW CONNECTION: the first SPD line a fresh link carries is the first reading that arrives after it, so a reconnect can never resurrect a value measured before the gap
2026-08-06T17:08:37.085864Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-06T17:08:37.090849Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-06T17:08:37.093999Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-06T17:08:37.481140Z | SILENT | a: sending again after 0.450 s of silence (9 ticks)
2026-08-06T17:08:37.490801Z | SILENT | b: sending again after 0.450 s of silence (9 ticks)
2026-08-06T17:08:37.495036Z | SILENT | mot: sending again after 0.450 s of silence (9 ticks)
2026-08-06T17:08:37.498425Z | MOTION | MOT 1 1 (present=True, observation valid=True)
2026-08-06T17:08:48.731035Z | LINK | down (peer closed the connection (EOF). If a writer is running, this is the listener refusing a second client: one speed-source client at a time). Both freshness sequences stop advancing at the writer within one of its cycles, and the F-program reads both channels as missing - a demand, not a zero
2026-08-06T17:08:48.780990Z | SILENT | channel A: the link would not take the line, so the reading is DROPPED. It is not queued and not resent - a queued reading arrives stale, which is the one thing this link may not deliver
2026-08-06T17:08:48.786350Z | SILENT | channel B: the link would not take the line, so the reading is DROPPED. It is not queued and not resent - a queued reading arrives stale, which is the one thing this link may not deliver
2026-08-06T17:08:48.831053Z | LINK | connect attempt 2 to 127.0.0.1:45016 failed: Connection refused. While the link is down this node sends nothing; the writer freezes both freshness sequences and drives MotionPresent TRUE, which is the demanding direction and its contract, not ours to duplicate
2026-08-06T17:08:49.830957Z | LINK | connect attempt 3 to 127.0.0.1:45016 failed: Connection refused. While the link is down this node sends nothing; the writer freezes both freshness sequences and drives MotionPresent TRUE, which is the demanding direction and its contract, not ours to duplicate
2026-08-06T17:08:50.881138Z | LINK | connect attempt 4 to 127.0.0.1:45016 failed: Connection refused. While the link is down this node sends nothing; the writer freezes both freshness sequences and drives MotionPresent TRUE, which is the demanding direction and its contract, not ours to duplicate
2026-08-06T17:08:51.880881Z | LINK | connect attempt 5 to 127.0.0.1:45016 failed: Connection refused. While the link is down this node sends nothing; the writer freezes both freshness sequences and drives MotionPresent TRUE, which is the demanding direction and its contract, not ours to duplicate
2026-08-06T17:08:52.930902Z | LINK | connect attempt 6 to 127.0.0.1:45016 failed: Connection refused. While the link is down this node sends nothing; the writer freezes both freshness sequences and drives MotionPresent TRUE, which is the demanding direction and its contract, not ours to duplicate
2026-08-06T17:08:53.931010Z | LINK | connect attempt 7 to 127.0.0.1:45016 failed: Connection refused. While the link is down this node sends nothing; the writer freezes both freshness sequences and drives MotionPresent TRUE, which is the demanding direction and its contract, not ours to duplicate
2026-08-06T17:08:54.980979Z | LINK | up: connected to the stand-in writer at 127.0.0.1:45016 (attempt 8, connection 2). NO READING IS REPLAYED ONTO A NEW CONNECTION: the first SPD line a fresh link carries is the first reading that arrives after it, so a reconnect can never resurrect a value measured before the gap
2026-08-06T17:08:54.985486Z | SILENT | a: sending again after 6.250 s of silence (125 ticks)
2026-08-06T17:08:54.991531Z | SILENT | b: sending again after 6.250 s of silence (125 ticks)
2026-08-06T17:09:06.845937Z | EXIT | link attempts 8, connections 2, drops 1; sent SPD A 460, SPD B 460, MOT 462, PING 22; refused non-finite 0, out-of-range 0; silent ticks A 136, B 136, MOT 9; discarded stale A 0, B 0, MOT 0
2026-08-06T17:09:06.855323Z | LINK | down (node shutting down). Both freshness sequences stop advancing at the writer within one of its cycles, and the F-program reads both channels as missing - a demand, not a zero
