2026-08-06T17:10:29.088565Z | LINK | writer address 127.0.0.1:45016 read back from config safe_speed.link.host
2026-08-06T17:10:29.211965Z | LINK | up: connected to the stand-in writer at 127.0.0.1:45016 (attempt 1, connection 1). NO READING IS REPLAYED ONTO A NEW CONNECTION: the first SPD line a fresh link carries is the first reading that arrives after it, so a reconnect can never resurrect a value measured before the gap
2026-08-06T17:10:29.214956Z | SILENT | channel A: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqA and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-06T17:10:29.219771Z | SILENT | channel B: no fresh reading, so NO LINE is sent. The writer freezes SpeedSeqB and the F-program reads the channel as missing - a demand, never a zero and never the last value
2026-08-06T17:10:29.223589Z | SILENT | motion: no fresh observation pair, so NO MOT LINE is sent. The writer drives MotionPresent TRUE after its own MOTION_SILENCE_MAX - an unobservable vehicle is MOVING, never still
2026-08-06T17:10:30.511868Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:30.561956Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:30.611875Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:30.661812Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:30.711893Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:30.761919Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:30.811844Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:30.861851Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:30.911916Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:30.962035Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:31.011952Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:31.062008Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:31.111766Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:31.161841Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:31.211894Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:31.261817Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:31.311816Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:31.361835Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:31.411986Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:31.461971Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:31.511750Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
2026-08-06T17:10:31.561813Z | REFUSED | channel A: reading 40.0 m/s is outside the Int wire range and was NOT SCALED and NOT SENT. The sequence freezes and the channel reads as missing, which is a demand
